INSTNM,CITY,STATE,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SAT_AVG_ALL,TUITIONFEE_IN,TUITIONFEE_OUT
Hesston College,Hesston,KS,NULL,NULL,NULL,NULL,NULL,NULL,27690,27690
Highland Community College,Highland,KS,NULL,NULL,NULL,NULL,NULL,NULL,3153,3711
Hutchinson Community College,Hutchinson,KS,NULL,NULL,NULL,NULL,NULL,NULL,3120,4350
Independence Community College,Independence,KS,NULL,NULL,NULL,NULL,NULL,NULL,4237,4640
Johnson County Community College,Overland Park,KS,NULL,NULL,NULL,NULL,NULL,NULL,2820,6690
Concorde Career College-Kansas City,Kansas City,MO,0.9492,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kansas City Kansas Community College,Kansas City,KS,NULL,NULL,NULL,NULL,NULL,NULL,3120,6510
Kansas Christian College,Overland Park,KS,NULL,NULL,NULL,NULL,NULL,NULL,8780,8780
University of Kansas,Lawrence,KS,0.931,NULL,NULL,NULL,NULL,1235,11166,28034
Newman University,Wichita,KS,0.6747,490,590,495,600,1099,31906,31906
Old Town Barber College-Wichita,Wichita,KS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kansas State University,Manhattan,KS,0.9537,NULL,NULL,NULL,NULL,NULL,10440,26316
Kansas Wesleyan University,Salina,KS,0.6063,490,563,480,550,1092,29820,29820
Washburn Institute of Technology,Topeka,KS,0.5035,NULL,NULL,NULL,NULL,NULL,7824,7824
Labette Community College,Parsons,KS,NULL,NULL,NULL,NULL,NULL,NULL,3360,4160
Manhattan Area Technical College,Manhattan,KS,NULL,NULL,NULL,NULL,NULL,NULL,6690,6690
Manhattan Christian College,Manhattan,KS,0.4417,NULL,NULL,NULL,NULL,1050,16850,16850
McPherson College,McPherson,KS,0.521,490,550,480,580,1073,30077,30077
MidAmerica Nazarene University,Olathe,KS,0.5464,NULL,NULL,NULL,NULL,NULL,31786,31786
Neosho County Community College,Chanute,KS,NULL,NULL,NULL,NULL,NULL,NULL,4930,4930
North Central Kansas Technical College,Beloit,KS,NULL,NULL,NULL,NULL,NULL,NULL,6398,6398
Northwest Kansas Technical College,Goodland,KS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ottawa University-Ottawa,Ottawa,KS,0.1454,440,530,450,530,1017,30805,30805
Ottawa University-Kansas City,Overland Park,KS,NULL,NULL,NULL,NULL,NULL,1017,NULL,NULL
Pittsburg State University,Pittsburg,KS,0.9555,478,600,438,585,1103,7338,18682
Pratt Community College,Pratt,KS,NULL,NULL,NULL,NULL,NULL,NULL,3584,4168
University of Saint Mary,Leavenworth,KS,0.8398,490,590,470,540,1062,29880,29880
Salina Area Technical College,Salina,KS,NULL,NULL,NULL,NULL,NULL,NULL,8315,8315
Seward County Community College,Liberal,KS,NULL,NULL,NULL,NULL,NULL,NULL,3420,4640
Southwestern College,Winfield,KS,0.5157,460,530,460,540,1052,31650,31650
Sterling College,Sterling,KS,0.3991,470,530,450,520,1034,27300,27300
Tabor College,Hillsboro,KS,0.5591,460,590,470,570,1038,29360,29360
Washburn University,Topeka,KS,NULL,NULL,NULL,NULL,NULL,NULL,8704,19456
Wichita State University-Campus of Applied Sciences and Technology,Wichita,KS,NULL,NULL,NULL,NULL,NULL,NULL,6776,7743
Wichita State University,Wichita,KS,0.917,510,630,520,640,1168,8298,17480
Wichita Technical Institute,Wichita,KS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alice Lloyd College,Pippa Passes,KY,0.2656,420,540,440,520,1040,12230,12230
Asbury University,Wilmore,KY,0.6441,540,670,510,660,1201,30952,30952
Asbury Theological Seminary,Wilmore,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ashland Community and Technical College,Ashland,KY,NULL,NULL,NULL,NULL,NULL,NULL,4368,14808
Barrett and Company School of Hair Design,Nicholasville,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bellarmine University,Louisville,KY,0.6622,540,640,520,620,1209,42830,42830
Berea College,Berea,KY,0.3026,550,660,540,638,1216,44700,44700
PJ's College of Cosmetology-Bowling Green,Bowling Green,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southcentral Kentucky Community and Technical College,Bowling Green,KY,NULL,NULL,NULL,NULL,NULL,NULL,4368,14808
Brescia University,Owensboro,KY,0.4233,490,610,510,650,1147,23500,23500
Campbellsville University,Campbellsville,KY,0.7006,NULL,NULL,NULL,NULL,NULL,25400,25400
Bluegrass Community and Technical College,Lexington,KY,NULL,NULL,NULL,NULL,NULL,NULL,4448,14888
Centre College,Danville,KY,0.7644,570,650,560,730,1326,43000,43000
Clear Creek Baptist Bible College,Pineville,KY,NULL,NULL,NULL,NULL,NULL,NULL,9620,9620
Paul Mitchell the School-Lexington,Lexington,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Galen College of Nursing-Louisville,Louisville,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of the Cumberlands,Williamsburg,KY,0.8004,460,580,470,560,1077,9875,9875
Eastern Kentucky University,Richmond,KY,0.9383,490,590,500,580,1144,9876,19948
Elizabethtown Community and Technical College,Elizabethtown,KY,NULL,NULL,NULL,NULL,NULL,NULL,4368,14808
Frontier Nursing University,Versailles,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Georgetown College,Georgetown,KY,0.6335,530,640,512,640,1187,39810,39810
PJ's College of Cosmetology-Glasgow,Glasgow,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hazard Community and Technical College,Hazard,KY,NULL,NULL,NULL,NULL,NULL,NULL,4368,14808
Paul Mitchell the School-Louisville,Louisville,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Henderson Community College,Henderson,KY,NULL,NULL,NULL,NULL,NULL,NULL,4368,14808
Hopkinsville Community College,Hopkinsville,KY,NULL,NULL,NULL,NULL,NULL,NULL,4368,14808
Jefferson Community and Technical College,Louisville,KY,NULL,NULL,NULL,NULL,NULL,NULL,4448,14888
Summit Salon Academy-Lexington,Lexington,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American National University-Pikeville,Pikeville,KY,NULL,NULL,NULL,NULL,NULL,NULL,8280,8280
Kentucky Mountain Bible College,Jackson,KY,0.4824,440,600,499,501,1058,9610,9610
Kentucky State University,Frankfort,KY,0.8065,450,530,440,530,1027,8090,11940
Kentucky Wesleyan College,Owensboro,KY,0.6243,500,610,500,588,1141,27200,27200
University of Kentucky,Lexington,KY,0.9585,540,650,530,670,1227,12360,30680
Kentucky Christian University,Grayson,KY,0.4035,410,500,412,510,1004,20596,20596
Lexington Theological Seminary,Lexington,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lindsey Wilson College,Columbia,KY,NULL,NULL,NULL,NULL,NULL,NULL,25350,25350
University of Louisville,Louisville,KY,0.6928,540,640,530,650,1226,11928,27954
Louisville Presbyterian Theological Seminary,Louisville,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Madisonville Community College,Madisonville,KY,NULL,NULL,NULL,NULL,NULL,NULL,4368,14808
Maysville Community and Technical College,Maysville,KY,NULL,NULL,NULL,NULL,NULL,NULL,4368,14808
Midway University,Midway,KY,0.5964,490,580,470,550,1078,24850,24850
Morehead State University,Morehead,KY,0.776,480,603,468,620,1147,9290,13876
Murray State University,Murray,KY,0.8239,530,630,505,620,1195,9168,24792
Gateway Community and Technical College,Florence,KY,NULL,NULL,NULL,NULL,NULL,NULL,4448,14888
Northern Kentucky University,Highland Heights,KY,0.9018,510,600,510,640,1148,10296,20256
West Kentucky Community and Technical College,Paducah,KY,NULL,NULL,NULL,NULL,NULL,NULL,4368,14808
University of Pikeville,Pikeville,KY,NULL,NULL,NULL,NULL,NULL,NULL,21550,21550
Big Sandy Community and Technical College,Prestonsburg,KY,NULL,NULL,NULL,NULL,NULL,NULL,4368,14808
Empire Beauty School-Chenoweth,Louisville,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Elizabethtown,Elizabethtown,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Dixie,Louisville,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Florence,Florence,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Somerset Community College,Somerset,KY,NULL,NULL,NULL,NULL,NULL,NULL,4368,14808
Southeast Kentucky Community,Cumberland,KY,NULL,NULL,NULL,NULL,NULL,NULL,4368,14808
The Southern Baptist Theological Seminary,Louisville,KY,0.68,528,650,500,600,1136,20796,20796
Spalding University,Louisville,KY,0.7932,430,580,500,570,1035,25200,25200
Sullivan University,Louisville,KY,NULL,NULL,NULL,NULL,NULL,NULL,12870,12870
Thomas More University,Crestview Hills,KY,0.9058,500,580,510,560,1116,32090,32090
Transylvania University,Lexington,KY,0.8967,550,680,530,670,1259,40210,40210
Union College,Barbourville,KY,0.5468,NULL,NULL,NULL,NULL,1035,27950,27950
Western Kentucky University,Bowling Green,KY,0.9726,500,620,490,600,1150,10802,26496
Central Louisiana Technical Community College,Alexandria,LA,NULL,NULL,NULL,NULL,NULL,NULL,4099,8208
Ayers Career College,Shreveport,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology,Baton Rouge,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Baton Rouge School of Computers,Baton Rouge,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bossier Parish Community College,Bossier City,LA,NULL,NULL,NULL,NULL,NULL,NULL,4156,8842
Centenary College of Louisiana,Shreveport,LA,0.5978,530,630,530,620,1207,37310,37310
Cloyd's Beauty School 1 Inc,West Monroe,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Crescent City Bartending School,New Orleans,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
D'Jay's Institute of Cosmetology and Esthiology,Baton Rouge,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Delgado Community College,New Orleans,LA,NULL,NULL,NULL,NULL,NULL,NULL,4079,8368
Avery James School of Cosmetology,Lake Charles,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Denham Springs Beauty School,Denham Springs,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dillard University,New Orleans,LA,0.3881,500,580,480,540,1075,19281,19281
Nunez Community College,Chalmette,LA,NULL,NULL,NULL,NULL,NULL,NULL,4175,7674
Grambling State University,Grambling,LA,0.9723,460,540,450,520,981,7683,16706
Guy's Shreveport Academy of Cosmetology Inc,Shreveport,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ITI Technical College,Baton Rouge,LA,NULL,NULL,NULL,NULL,NULL,NULL,11156,11156
John Jay Beauty College,Kenner,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Louisiana State University-Alexandria,Alexandria,LA,0.5628,470,520,470,530,1032,6668,14024
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,0.7458,550,650,530,660,1242,11962,28639
Louisiana State University-Eunice,Eunice,LA,NULL,NULL,NULL,NULL,NULL,NULL,4730,10094
Louisiana State University-Shreveport,Shreveport,LA,0.8388,493,583,513,590,1119,7327,20481
Aveda Arts & Sciences Institute-Baton Rouge,Baton Rouge,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aveda Arts & Sciences Institute-Lafayette,Lafayette,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Louisiana Academy of Beauty,Eunice,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Louisiana College,Pineville,LA,0.6935,460,540,450,520,1060,17500,17500
Opelousas School of Cosmetology,Opelousas,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Louisiana Tech University,Ruston,LA,0.6409,520,610,545,650,1218,10185,19098
Loyola University New Orleans,New Orleans,LA,0.7502,540,650,510,610,1194,40842,40842
McNeese State University,Lake Charles,LA,0.8074,510,610,500,630,1121,8102,16140
University of New Orleans,New Orleans,LA,0.5554,515,630,500,610,1134,8772,13608
New Orleans Baptist Theological Seminary,New Orleans,LA,NULL,NULL,NULL,NULL,NULL,NULL,9100,9100
Nicholls State University,Thibodaux,LA,0.8799,480,572,520,600,1134,7898,8991
University of Louisiana at Monroe,Monroe,LA,0.8004,NULL,NULL,NULL,NULL,1105,8974,21074
Northwest Louisiana Technical Community College,Minden,LA,NULL,NULL,NULL,NULL,NULL,NULL,2976,2976
Northwestern State University of Louisiana,Natchitoches,LA,0.8198,500,610,510,600,1105,8768,19556
University of Holy Cross,New Orleans,LA,0.3245,NULL,NULL,NULL,NULL,NULL,14720,14720
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,0.5668,NULL,NULL,NULL,NULL,1120,14145,14145
Pat Goins Benton Road Beauty School,Bossier City,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Celebrity Stylist Beauty School,Monroe,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pineville Beauty School,Pineville,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aveda Arts & Sciences Institute-Covington,Covington,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Saint Joseph Seminary College,St. Benedict,LA,NULL,NULL,NULL,NULL,NULL,NULL,19490,19490
LaSalle Tech,Houma,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fletcher Technical Community College,Schriever,LA,NULL,NULL,NULL,NULL,NULL,NULL,3981,7504
Remington College-Lafayette Campus,Lafayette,LA,NULL,NULL,NULL,NULL,NULL,NULL,15837,15837
SOWELA Technical Community College,Lake Charles,LA,NULL,NULL,NULL,NULL,NULL,NULL,4265,7692
Stevensons Academy of Hair Design,New Orleans,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern Louisiana University,Hammond,LA,0.9021,NULL,NULL,NULL,NULL,1105,8329,20807
Southern University and A & M College,Baton Rouge,LA,0.349,460,540,440,540,999,9141,16491
Southern University at New Orleans,New Orleans,LA,0.6033,NULL,NULL,NULL,NULL,925,7169,16070
Southern University at Shreveport,Shreveport,LA,NULL,NULL,NULL,NULL,NULL,NULL,4350,7650
University of Louisiana at Lafayette,Lafayette,LA,0.6791,510,618,510,650,1169,10382,24110
Northshore Technical Community College,Lacombe,LA,NULL,NULL,NULL,NULL,NULL,NULL,4103,7612
Tulane University of Louisiana,New Orleans,LA,0.1287,660,750,700,770,1444,56800,56800
Xavier University of Louisiana,New Orleans,LA,0.5998,510,580,480,580,1120,25055,25055
College of the Atlantic,Bar Harbor,ME,0.7206,NULL,NULL,NULL,NULL,NULL,43542,43542
Bates College,Lewiston,ME,0.1214,NULL,NULL,NULL,NULL,NULL,55683,55683
Beal University,Bangor,ME,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bowdoin College,Brunswick,ME,0.0905,NULL,NULL,NULL,NULL,NULL,56350,56350
Maine College of Health Professions,Lewiston,ME,0.5217,460,530,440,510,970,13855,13855
Central Maine Community College,Auburn,ME,NULL,NULL,NULL,NULL,NULL,NULL,3784,6604
Colby College,Waterville,ME,0.0967,680,740,700,780,1456,57280,57280
Eastern Maine Community College,Bangor,ME,NULL,NULL,NULL,NULL,NULL,NULL,3818,6638
Kennebec Valley Community College,Fairfield,ME,NULL,NULL,NULL,NULL,NULL,NULL,3817,6637
The Landing School,Arundel,ME,NULL,NULL,NULL,NULL,NULL,NULL,24975,24975
University of Maine at Augusta,Augusta,ME,NULL,NULL,NULL,NULL,NULL,NULL,8168,18338
University of Maine at Farmington,Farmington,ME,0.9094,NULL,NULL,NULL,NULL,NULL,9344,19514
University of Maine at Fort Kent,Fort Kent,ME,0.9933,440,540,440,530,976,8295,12585
University of Maine at Machias,Machias,ME,NULL,NULL,NULL,NULL,NULL,NULL,8036,15116
University of Maine,Orono,ME,0.9024,530,630,520,630,1159,11438,31748
Maine Maritime Academy,Castine,ME,0.4532,500,610,510,590,1115,13792,27820
University of Maine at Presque Isle,Presque Isle,ME,0.9905,NULL,NULL,NULL,NULL,NULL,8330,12620
University of New England,Biddeford,ME,0.8439,520,620,520,610,1142,38750,38750
Northern Maine Community College,Presque Isle,ME,NULL,NULL,NULL,NULL,NULL,NULL,3741,6561
Empire Beauty School-Maine,Portland,ME,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Maine College of Art,Portland,ME,0.6236,NULL,NULL,NULL,NULL,NULL,36424,36424
Saint Joseph's College of Maine,Standish,ME,0.8716,490,573,498,580,1072,36720,36720
Spa Tech Institute-Westbrook,Westbrook,ME,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Maine Community College,South Portland,ME,NULL,NULL,NULL,NULL,NULL,NULL,3784,6604
University of Southern Maine,Portland,ME,0.809,480,590,470,570,1058,9226,22050
Thomas College,Waterville,ME,0.8381,NULL,NULL,NULL,NULL,NULL,27720,27720
Unity College,Unity,ME,0.9827,NULL,NULL,NULL,NULL,NULL,30000,30000
Washington County Community College,Calais,ME,NULL,NULL,NULL,NULL,NULL,NULL,3784,7568
Allegany College of Maryland,Cumberland,MD,NULL,NULL,NULL,NULL,NULL,NULL,4610,9980
Anne Arundel Community College,Arnold,MD,NULL,NULL,NULL,NULL,NULL,NULL,4790,13160
Award Beauty School,Hagerstown,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Baltimore Studio of Hair Design,Baltimore,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Baltimore City Community College,Baltimore,MD,NULL,NULL,NULL,NULL,NULL,NULL,3314,7394
University of Baltimore,Baltimore,MD,0.7804,490,595,480,540,1052,9096,21456
Bowie State University,Bowie,MD,0.7967,440,520,420,510,949,8444,19136
Capitol Technology University,Laurel,MD,0.8338,510,610,510,620,1124,26308,26308
Cecil College,North East,MD,NULL,NULL,NULL,NULL,NULL,NULL,4650,9480
College of Southern Maryland,La Plata,MD,NULL,NULL,NULL,NULL,NULL,NULL,3930,8820
Chesapeake College,Wye Mills,MD,NULL,NULL,NULL,NULL,NULL,NULL,3890,7400
Washington Adventist University,Takoma Park,MD,0.5877,420,520,400,510,948,24800,24800
Coppin State University,Baltimore,MD,0.2798,420,490,400,480,903,8964,15361
Delmarva Beauty Academy,Salisbury,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
North American Trade Schools,Baltimore,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Frederick Community College,Frederick,MD,NULL,NULL,NULL,NULL,NULL,NULL,3676,9556
Frostburg State University,Frostburg,MD,0.8014,470,580,450,560,1033,9410,23510
Garrett College,McHenry,MD,NULL,NULL,NULL,NULL,NULL,NULL,4172,9912
Goucher College,Baltimore,MD,0.813,530,650,500,610,1166,45250,45250
Hagerstown Community College,Hagerstown,MD,NULL,NULL,NULL,NULL,NULL,NULL,4290,8235
Harford Community College,Bel Air,MD,NULL,NULL,NULL,NULL,NULL,NULL,3827,8302
Hood College,Frederick,MD,0.6533,NULL,NULL,NULL,NULL,NULL,41060,41060
Howard Community College,Columbia,MD,NULL,NULL,NULL,NULL,NULL,NULL,3984,7440
Aveda Institute-Maryland,Bel Air,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Johns Hopkins University,Baltimore,MD,0.1117,710,760,750,800,1514,55350,55350
Lincoln College of Technology-Columbia,Columbia,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Loyola University Maryland,Baltimore,MD,0.802,NULL,NULL,NULL,NULL,NULL,50100,50100
University of Maryland Global Campus,Adelphi,MD,NULL,NULL,NULL,NULL,NULL,NULL,7560,12336
University of Maryland Baltimore,Baltimore,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Maryland-Baltimore County,Baltimore,MD,0.6103,590,670,590,690,1270,12028,27662
University of Maryland-College Park,College Park,MD,0.4418,630,710,650,760,1389,10779,36891
Maryland Institute College of Art,Baltimore,MD,0.6389,560,680,520,670,1230,50330,50330
University of Maryland Eastern Shore,Princess Anne,MD,0.6467,440,520,410,510,941,8558,18968
Fortis Institute-Towson,Towson,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Montgomery Beauty School,Silver Spring,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Montgomery College,Rockville,MD,NULL,NULL,NULL,NULL,NULL,NULL,5322,14034
Morgan State University,Baltimore,MD,0.6784,340,430,230,410,737,8008,18480
Mount St. Mary's University,Emmitsburg,MD,0.7479,500,610,490,590,1097,42590,42590
Ner Israel Rabbinical College,Baltimore,MD,0.7778,NULL,NULL,NULL,NULL,NULL,12400,12400
Hair Academy,New Carrollton,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Notre Dame of Maryland University,Baltimore,MD,0.6173,470,590,440,540,1026,38340,38340
Prince George's Community College,Largo,MD,NULL,NULL,NULL,NULL,NULL,NULL,3770,8498
Robert Paul Academy of Cosmetology Arts & Sciences,Timonium,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Maryland Beauty Academy of Essex,Baltimore,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Salisbury University,Salisbury,MD,0.7351,NULL,NULL,NULL,NULL,NULL,10044,20110
St. Mary's College of Maryland,St. Mary's City,MD,0.8427,540,650,520,640,1184,15124,31200
St. John's College,Annapolis,MD,0.5985,620,720,590,710,1327,35635,35635
Towson University,Towson,MD,0.7631,540,620,520,600,1139,10198,24334
Maryland University of Integrative Health,Laurel,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
United States Naval Academy,Annapolis,MD,0.0833,620,710,620,750,1348,NULL,NULL
Stevenson University,Stevenson,MD,0.8078,510,600,500,590,1097,37142,37142
Washington College,Chestertown,MD,0.9236,NULL,NULL,NULL,NULL,NULL,48814,48814
McDaniel College,Westminster,MD,0.9184,NULL,NULL,NULL,NULL,NULL,44540,44540
Wor-Wic Community College,Salisbury,MD,NULL,NULL,NULL,NULL,NULL,NULL,3336,7704
Hult International Business School,Cambridge,MA,0.4335,NULL,NULL,NULL,NULL,NULL,42500,42500
American International College,Springfield,MA,0.6458,NULL,NULL,NULL,NULL,NULL,36930,36930
Amherst College,Amherst,MA,0.1131,650,740,660,780,1431,58640,58640
Anna Maria College,Paxton,MA,0.7405,NULL,NULL,NULL,NULL,NULL,38630,38630
Assabet Valley Regional Technical School,Marlborough,MA,0.3125,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Assumption University,Worcester,MA,0.8108,NULL,NULL,NULL,NULL,NULL,42316,42316
Babson College,Wellesley,MA,0.2641,620,690,650,760,1362,52608,52608
Bancroft School of Massage Therapy,Worcester,MA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
